CID	CanonicalSMILES	IUPACName	result	binding
58348380	C1CCCC(CC1)(C2=CC=CC=C2)C(=O)OC3C[N+]4(CCC3CC4)CC(=O)NC5=C(C=CC=N5)F	[(3R)-1-[2-[(3-fluoropyridin-2-yl)amino]-2-oxoethyl]-1-azoniabicyclo[2.2.2]octan-3-yl] 1-phenylcycloheptane-1-carboxylate	0	0
101324920	CC1=CC=CC2=C1C(=C(C=C2)S(=O)(=O)[O-])C.[Na+]	sodium;1,8-dimethylnaphthalene-2-sulfonate	0	0
124805874	CC1C2=NC(=CN2CCN1CC3=CSC=C3)C(=O)NC(C)C	(8R)-8-methyl-N-propan-2-yl-7-(thiophen-3-ylmethyl)-6,8-dihydro-5H-imidazo[1,2-a]pyrazine-2-carboxamide	0	0
113913108	CCC(C)CNC(=O)N1CCCC(C1C(=O)O)C	3-methyl-1-(2-methylbutylcarbamoyl)piperidine-2-carboxylic acid	0	0
85302126	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC=CC(=O)OC)C)C	methyl 3-[[10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]prop-2-enoate	0	0
54356655	C1C=CCN1C(=CC2=C(C=CC(=C2)O)O)C(=O)O	2-(2,5-dihydropyrrol-1-yl)-3-(2,5-dihydroxyphenyl)prop-2-enoic acid	0	0
64224234	COC1=CC=CC=C1C(=O)C2=CC3=C(CCNC3=O)C=C2	7-(2-methoxybenzoyl)-3,4-dihydro-2H-isoquinolin-1-one	0	0
93172857	CCC1COC(CN1CC2=CC(=CC=C2)CN)C	[3-[[(2R,5R)-5-ethyl-2-methylmorpholin-4-yl]methyl]phenyl]methanamine	0	0
123679667	CC=CC=C(C)C1=CC(=CC(=C1)C(=CC)C=CC)C2=CC=C(C=C2)C3C4=C(C5=CC=CC=C35)C6=C(C=C4)SC7=CC=CC=C76	14-[4-(3-hexa-2,4-dien-2-yl-5-hexa-2,4-dien-3-ylphenyl)phenyl]-9-thiapentacyclo[11.7.0.02,10.03,8.015,20]icosa-1(13),2(10),3,5,7,11,15,17,19-nonaene	0	0
54722264	CCC1C(C=C(C=CC(=O)C(CC(C(C(C(=CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CC=O)C)C)COC3C(C(C(C(O3)C)OC(=O)C)OC)OC	[(2R,3R,4R,5R,6R)-6-[[(2R,3R,4E,6E,9R,11R,12S,13R,14E)-12-[(2S,3S,4R,5R,6S)-4-(dimethylamino)-3,5-dihydroxy-6-methyloxan-2-yl]oxy-2-ethyl-14-hydroxy-5,9,13-trimethyl-8,16-dioxo-11-(2-oxoethyl)-1-oxacyclohexadeca-4,6,14-trien-3-yl]methoxy]-4,5-dimethoxy-2-methyloxan-3-yl] acetate	0	0
106530820	CCOC1CCN(CC1)C2=CC(=CC(=C2)CNC)F	1-[3-(4-ethoxypiperidin-1-yl)-5-fluorophenyl]-N-methylmethanamine	0	0
46809692	CC1C(=O)N(C(=O)N1C2=CC=C(C=C2)F)CC(=O)NCCC(C3=CC=CC=C3)C4=CC=CC=C4	N-(3,3-diphenylpropyl)-2-[3-(4-fluorophenyl)-4-methyl-2,5-dioxoimidazolidin-1-yl]acetamide	0	0
54733487	CC1CCC2=C(C1)SC3=C2C(=C(C(=O)N3)C(=O)NC4=CC(=CC=C4)SC)O	4-hydroxy-7-methyl-N-(3-methylsulfanylphenyl)-2-oxo-5,6,7,8-tetrahydro-1H-[1]benzothiolo[2,3-b]pyridine-3-carboxamide	0	0
93914195	C1CC(CC(C1)NC(=O)C2=CC=C(O2)CS(=O)(=O)C3=CC=CC=C3)C(F)(F)F	5-(benzenesulfonylmethyl)-N-[(1R,3R)-3-(trifluoromethyl)cyclohexyl]furan-2-carboxamide	0	0
101422342	CC(C)(C(C[N+](=O)[O-])C1=CC=CC=C1Cl)[N+](=O)[O-]	1-chloro-2-[(2R)-3-methyl-1,3-dinitrobutan-2-yl]benzene	0	0
